City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Findlay,US,87.8,clear sky,41.04,-83.65,Drury Inn & Suites Findlay
9,Atuona,PF,78.82,broken clouds,-9.8,-139.03,Villa Enata
15,Marawi,PH,78.01,broken clouds,8.0,124.29,Salihmaruhom
19,Shouguang,CN,78.01,scattered clouds,36.88,118.74,Communications Hotel
23,Kapaa,US,86.0,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
24,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
31,Dingle,PH,80.74,overcast clouds,11.0,122.67,Camp Pasica
39,Butaritari,KI,82.6,overcast clouds,3.07,172.79,Isles Sunset Lodge
42,Surt,LY,78.58,clear sky,31.21,16.59,City Hotel
45,Mana,GF,78.66,broken clouds,5.66,-53.78,LE SAMANA
48,Hamilton,US,82.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
55,Kijang,KR,78.8,light rain,35.24,129.21,Brown Dot Gijang Yeonhwari
57,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
58,Salalah,OM,75.2,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
60,Sibolga,ID,76.19,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
62,Maraa,BR,78.48,light rain,-1.83,-65.37,
67,Humberto De Campos,BR,76.64,scattered clouds,-2.6,-43.46,Pousada do Cabeça
72,Gizo,SB,83.98,overcast clouds,-8.1,156.84,Imagination Island
73,Ko Samui,TH,84.2,few clouds,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
75,Hilo,US,86.0,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
77,Half Moon Bay,US,77.0,overcast clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
83,Berea,US,87.8,scattered clouds,41.37,-81.85,Comfort Inn Cleveland Airport
85,Banda Aceh,ID,79.12,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
86,Marsh Harbour,BS,84.16,light rain,26.54,-77.06,Abaco Beach Resort
87,Restrepo,CO,77.0,broken clouds,3.82,-76.52,Apartaestudios Restrepo
88,Axim,GH,75.54,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
90,San Patricio,MX,76.35,heavy intensity rain,19.22,-104.7,Hotel Cabo Blanco
97,Nassau,US,84.0,moderate rain,40.75,-73.58,Hilton Garden Inn Westbury
100,Isangel,VU,78.8,broken clouds,-19.55,169.27,Volcano Sea View Tree House
101,Trabzon,TR,75.2,broken clouds,40.92,39.83,SANDALS HOTEL
102,Bara,NG,75.06,moderate rain,10.37,10.73,
104,Sao Filipe,CV,78.49,overcast clouds,14.9,-24.5,Tortuga B&B
106,Canton,CN,89.01,few clouds,23.12,113.25,Guangzhou Hotel
108,Acaponeta,MX,81.45,light rain,22.5,-105.36,Hotel Casa Blanca
110,Urucui,BR,83.79,broken clouds,-7.23,-44.56,Formula Flat Uruçui
118,Iquitos,PE,86.0,overcast clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
123,Meulaboh,ID,76.33,light rain,4.14,96.13,Kost Pria
124,Palafrugell,ES,75.0,clear sky,41.92,3.16,Hotel Garbi
128,Avera,US,86.0,clear sky,33.19,-82.53,
132,Havelock,US,82.99,broken clouds,34.88,-76.9,Sherwood Motel
134,Palma Soriano,CU,86.0,scattered clouds,20.22,-76.0,Mercedes Rooms
139,Honiara,SB,84.2,broken clouds,-9.43,159.95,Heritage Park Hotel
140,Mogadishu,SO,76.03,few clouds,2.04,45.34,Hotel Juba
142,Nicoya,CR,75.2,light rain,10.15,-85.45,Guayacan Real
143,Jacareacanga,BR,76.14,light rain,-6.22,-57.75,Casa do Ian😎
146,Avarua,CK,77.0,scattered clouds,-21.21,-159.78,Paradise Inn
153,Clarksburg,US,75.99,moderate rain,39.28,-80.34,Greenbrier Motel & Restaurant
155,Kirakira,SB,83.7,light rain,-10.45,161.92,SanBiz Lodge
156,Tocache,PE,77.2,few clouds,-8.18,-76.51,Marylin Trevejos Rojas
158,Puerto Suarez,BO,86.11,few clouds,-18.95,-57.8,Hotel casa real
159,Umm Lajj,SA,82.24,broken clouds,25.02,37.27,Moon light Furnished Units
162,Hasaki,JP,88.0,scattered clouds,35.73,140.83,Inubosaki Kanko Hotel
163,Dwarka,IN,81.37,light rain,22.24,68.97,Hotel Narayan Avezika Comfort
165,Georgetown,MY,80.6,haze,5.41,100.34,Cititel Penang
166,Lancaster,US,89.6,few clouds,40.25,-76.25,Refreshing Mountain Retreat and Adventure Center
171,Bengkulu,ID,75.58,scattered clouds,-3.8,102.27,Grage Hotel Bengkulu
173,Namatanai,PG,82.85,moderate rain,-3.67,152.43,Namatanai Hotel
177,Riyadh,SA,82.4,clear sky,24.69,46.72,InterContinental Riyadh
180,Praia,CV,80.6,broken clouds,14.92,-23.51,LT Aparthotel
181,Belle Glade,US,86.0,light rain,26.68,-80.67,Mid-City Trailer Park
183,Cayenne,GF,82.4,broken clouds,4.93,-52.33,Hôtel Le Dronmi
190,Coari,BR,81.46,broken clouds,-4.08,-63.14,HOTEL ALEX FLAT
192,Victoria,HK,84.0,light rain,22.29,114.16,Mini Hotel Central
199,Vila Velha,BR,75.0,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
203,San Juan De La Maguana,DO,86.0,few clouds,18.81,-71.23,Hotel Maguana
205,Vaitape,PF,78.24,clear sky,-16.52,-151.75,Conrad Bora Bora Nui
207,Jeremie,HT,82.83,broken clouds,18.65,-74.12,Auberge Inn
210,Porangatu,BR,75.9,broken clouds,-13.44,-49.15,Wembley Park Hotel
214,Pedasi,PA,78.28,overcast clouds,7.53,-80.03,Selina Pedasi
217,Chateaubelair,VC,82.4,scattered clouds,13.28,-61.25,Richmond Vale Diving & Hiking Center
219,Cody,US,77.0,broken clouds,44.53,-109.06,Buffalo Bill (Cabins) Village
220,Hambantota,LK,79.47,broken clouds,6.12,81.12,Bungalow 63
223,Todos Santos,MX,80.01,moderate rain,23.45,-110.22,Hotel California Todos Santos
224,Omboue,GA,75.11,overcast clouds,-1.57,9.26,Hotel Olako
228,Katsuura,JP,88.0,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
229,Roebourne,AU,81.7,clear sky,-20.78,117.13,Harding River Caravan Park
232,Karratha,AU,81.3,clear sky,-20.74,116.85,ibis Styles Karratha
236,Itarema,BR,78.66,few clouds,-2.92,-39.92,Windvillage
241,Auki,SB,84.0,light rain,-8.77,160.7,Auki Motel
242,Hongjiang,CN,77.54,clear sky,27.11,110.0,洪江大酒店
247,Hithadhoo,MV,81.41,overcast clouds,-0.6,73.08,Scoop Guest House
249,Trincomalee,LK,80.33,broken clouds,8.57,81.23,Welcombe Hotel
256,Bathsheba,BB,82.4,few clouds,13.22,-59.52,Atlantis Hotel
258,Mahibadhoo,MV,82.74,light rain,3.78,72.97,Omadhoo Inn
262,Ponta Do Sol,PT,77.0,few clouds,32.67,-17.1,Hotel do Campo
263,Kampot,KH,84.2,scattered clouds,10.62,104.18,Champa Lodge
277,Guanica,PR,82.99,light rain,17.97,-66.91,Copamarina Beach Resort & Spa
278,Cozumel,MX,81.0,overcast clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
282,Pontianak,ID,76.08,overcast clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
283,Pundaguitan,PH,83.35,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
286,Labuhan,ID,77.86,scattered clouds,-6.88,112.21,bador sepret
287,Tagusao,PH,82.26,overcast clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
288,Morros,BR,77.47,clear sky,-9.45,-46.3,
296,Saquena,PE,80.22,overcast clouds,-4.67,-73.52,
298,Kota Bahru,MY,77.0,scattered clouds,6.13,102.24,Grand Riverview Hotel
300,Aransas Pass,US,89.01,clear sky,27.91,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
301,Hobyo,SO,75.99,overcast clouds,5.35,48.53,Osmani Hotel
303,Arauca,CO,77.49,clear sky,7.08,-70.76,Hotel Verano Plaza
316,Fare,PF,78.17,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
319,Denpasar,ID,80.6,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
320,Saint Anthony,US,86.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
321,Dong Hoi,VN,81.79,broken clouds,17.48,106.6,Nam Long Hotel
325,Kalmunai,LK,78.44,broken clouds,7.42,81.82,VS Villa
326,Portel,BR,77.18,light rain,-1.94,-50.82,Pousada Avenida
331,Camalu,MX,77.0,broken clouds,30.85,-116.07,La Cueva del Pirata
337,Ormara,PK,81.72,overcast clouds,25.21,64.64,
338,Kavaratti,IN,82.53,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
341,Nakamura,JP,87.22,clear sky,32.98,132.93,Hotel Crown Hills Nakamura
342,San Matias,BO,87.08,scattered clouds,-16.37,-58.4,"HOTEL ""SAN JOSE"""
357,Iracoubo,GF,79.48,overcast clouds,5.48,-53.2,Le Gite D Iracoubo
358,Manzanillo,CU,82.42,moderate rain,20.34,-77.12,Adrian & Tonia
359,Mancio Lima,BR,78.17,clear sky,-7.61,-72.9,Hotel e Distribuidora Voyage
360,Kokopo,PG,82.26,light rain,-4.35,152.26,Kokopo Beach Bungalow Resort
368,Shenjiamen,CN,80.83,overcast clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
371,Port Blair,IN,81.43,overcast clouds,11.67,92.75,Fortune Resort Bay Island
376,Verrettes,HT,87.8,scattered clouds,19.05,-72.47,"La Verrettienne,Hôtel/Restaurant/Club"
382,Jalu,LY,75.13,clear sky,29.03,21.55,Jalu Hotel
383,Huaihua,CN,76.55,clear sky,27.55,109.96,怀化天庆大酒店
384,Villa Bruzual,VE,76.32,moderate rain,9.33,-69.12,Hotel Turen
391,Lucea,JM,87.01,few clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
392,Padang,ID,76.68,overcast clouds,-0.95,100.35,Mercure Padang
395,Buala,SB,83.77,light rain,-8.14,159.59,Maringe Lagoon Lodge
396,Libreville,GA,78.8,broken clouds,0.39,9.45,Hotel Re-Ndama
405,Aloleng,PH,83.93,broken clouds,16.13,119.78,Agno Umbrella Rocks
407,Nishihara,JP,82.4,overcast clouds,26.18,127.76,Minshuku Agaihama
410,Jacksonville,US,88.0,broken clouds,30.33,-81.66,Hyatt Regency Jacksonville Riverfront
411,Chandbali,IN,78.78,overcast clouds,20.78,86.77,KABITA HOMES
412,Kavieng,PG,83.43,light rain,-2.57,150.8,Nusa Island Retreat
413,Dibulla,CO,81.79,clear sky,11.27,-73.31,Hospedaje Dibulla Beach
415,Tabuk,PH,79.05,broken clouds,17.42,121.44,Grand Zion Garden Resort Hotel
421,Daru,PG,78.17,light rain,-9.08,143.21,New century hotel
424,Harrisonburg,US,77.0,clear sky,38.45,-78.87,Hampton Inn Harrisonburg - University
431,Acarau,BR,78.42,few clouds,-2.89,-40.12,castelo pizzaria
433,Tessalit,ML,88.9,clear sky,20.2,1.01,
434,Pontes E Lacerda,BR,83.86,broken clouds,-15.23,-59.34,Hotel Bressan
437,Tiznit,MA,88.79,clear sky,29.58,-9.5,
439,Quixere,BR,76.14,broken clouds,-5.07,-37.99,Salão do Reino das testemunhas de Jeová - Quixeré
440,Banjar,ID,80.6,scattered clouds,-8.19,114.97,The Hamsa Resort
442,Mayo,US,86.0,broken clouds,38.89,-76.51,Resorts Resource Group International
446,Sinnamary,GF,79.88,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
450,Oranjestad,AW,84.2,shower rain,12.52,-70.03,Divi Village Golf & Beach Resort
452,Muroto,JP,82.4,few clouds,33.28,134.15,Oota Ryokan
453,Coelho Neto,BR,81.75,broken clouds,-4.26,-43.01,Hotel Ouro Verde
457,Formosa,AR,86.0,smoke,-26.18,-58.18,Asterión Hotel
464,Springdale,US,84.2,few clouds,36.19,-94.13,Springdale Inn
465,Kaseda,JP,75.2,light intensity shower rain,31.42,130.32,Sun Stay Kaseda
467,Santa Isabel Do Rio Negro,BR,77.74,broken clouds,-0.41,-65.02,Hotel GSA
469,Eyl,SO,76.19,overcast clouds,7.98,49.82,Amiin Hotel
470,Lufilufi,WS,82.4,broken clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
472,Trat,TH,78.35,overcast clouds,12.5,102.5,สวนหนิง-อัศ
476,Hope,US,75.0,moderate rain,33.67,-93.59,Best Western Hope
477,Sederot,IL,75.2,few clouds,31.52,34.6,אירוח קיבוץ דורות - גני דורות
480,Nortelandia,BR,85.06,few clouds,-14.45,-56.8,Hotel Karysmã
490,Benton Harbor,US,86.0,clear sky,42.12,-86.45,The Boulevard Inn & Bistro
495,Altamira,BR,79.93,light rain,-3.2,-52.21,Requinte Hotel
499,Burley,US,82.4,clear sky,42.54,-113.79,Fairfield Inn & Suites by Marriott Burley
502,Russell,US,78.8,few clouds,32.35,-85.2,Macs
506,Chaihe,CN,77.72,few clouds,44.77,129.7,Fengyuan Hotel
508,Guerrero Negro,MX,83.5,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
511,Manokwari,ID,83.7,light rain,-0.87,134.08,Swiss Belhotel Manokwari
514,Mitsamiouli,KM,75.42,broken clouds,-11.38,43.28,Foyer ADM
515,Sorong,ID,79.99,few clouds,-0.88,131.25,The Waigo Hotel
516,San Pedro,PH,84.99,broken clouds,14.35,121.02,OYO 412 Viewfort Venue
517,Boa Vista,BR,89.6,broken clouds,2.82,-60.67,Aipana Plaza Hotel
519,Jasper,US,81.0,clear sky,37.2,-94.35,Guest House Motel
522,Bontang,ID,78.69,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
526,Thiruvananthapuram,IN,80.6,mist,8.48,76.92,Hotel Residency Tower
527,Praia Da Vitoria,PT,75.2,broken clouds,38.73,-27.07,Hotel Branco I
532,Ligayan,PH,85.33,overcast clouds,4.65,119.47,
534,Canico,PT,77.0,few clouds,32.63,-16.85,Quinta Splendida Wellness & Botanical Garden
536,Port Moresby,PG,78.8,scattered clouds,-9.44,147.18,Lamana Hotel
538,Dillon,US,88.0,clear sky,34.42,-79.37,Dillon Express Inn
541,Vilhena,BR,78.8,broken clouds,-12.74,-60.15,Hotel Mirage
542,Nhulunbuy,AU,80.6,clear sky,-12.23,136.77,East Arnhem Real Estate
543,Jieshou,CN,75.25,clear sky,33.26,115.36,Vatica Jieshou City New Passenger Transport Center Hotel
544,Kuantan,MY,77.0,few clouds,3.81,103.33,Hotel Sentral Kuantan
546,Santa Cruz,BO,78.8,clear sky,-17.8,-63.17,Hotel Cortez
548,Ryotsu,JP,87.8,clear sky,38.08,138.43,Sadokamoko Onsen Kohanno Yado Yoshidaya
553,Maumere,ID,81.88,clear sky,-8.62,122.21,Sylvia Hotel
556,Kualakapuas,ID,75.2,mist,-3.01,114.39,Guest House Izonk
557,San Andres,CO,86.0,scattered clouds,12.58,-81.7,Hotel Arena Blanca
558,Garhi Yasin,PK,84.63,scattered clouds,27.91,68.51,Hashmi Guest House
559,Bela,IN,79.47,few clouds,25.93,81.98,Siddharth Hotel
560,Lebrija,ES,75.99,clear sky,36.92,-6.08,Hostal Mellizo
561,Felipe Carrillo Puerto,MX,77.0,light rain,19.58,-88.05,Hotel La Ceiba
562,Guardiagrele,IT,75.0,clear sky,42.2,14.22,Villa Maiella
564,Sucua,EC,75.2,scattered clouds,-2.47,-78.17,Hotel Barza
565,Qiongshan,CN,78.8,mist,20.01,110.35,Sun City Restaurant
567,San Jose,US,80.01,smoke,37.34,-121.89,The Westin San Jose
569,Maracena,ES,75.2,clear sky,37.21,-3.63,HOTEL REINA CRISTINA
575,Puerto Del Rosario,ES,82.4,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
584,Khuzdar,PK,75.92,few clouds,27.74,66.64,jhalwan Rent A Car Moola Chotok Boking Office
589,Harper,LR,75.81,overcast clouds,4.38,-7.72,Screensaver
590,Lillooet,CA,82.4,clear sky,50.69,-121.94,Hotel Victoria
591,Koungou,YT,75.2,broken clouds,-12.73,45.2,Villa Netibor
592,Vilanova Del Cami,ES,75.99,clear sky,41.57,1.64,América
593,Waingapu,ID,80.91,clear sky,-9.66,120.26,Pondok Wisata Elim
594,San Policarpo,PH,81.54,light rain,12.18,125.51,Zal-Ann Beach Resort
595,Naze,JP,86.0,scattered clouds,28.37,129.48,奄美ポートタワーホテル
598,El Cope,PA,80.01,light rain,8.62,-80.6,Hostal Buena Esperanza
599,Nouakchott,MR,84.2,few clouds,18.09,-15.98,Hôtel Iman
604,San Quintin,MX,77.97,scattered clouds,30.48,-115.95,Old Mill Hotel
606,Merritt Island,US,87.8,clear sky,28.54,-80.67,
607,Sikeston,US,84.2,clear sky,36.88,-89.59,Holiday Inn Express & Suites Sikeston
617,Alofi,NU,80.6,scattered clouds,-19.06,-169.92,Taloa Heights
620,Saint-Louis,SN,82.4,few clouds,16.33,-15.0,
621,Jingdezhen,CN,77.25,overcast clouds,29.29,117.21,Garden Hotel
624,Saint-Georges,GD,84.2,few clouds,12.06,-61.75,Siesta Hotel
626,La Asuncion,VE,87.8,few clouds,11.03,-63.86,Colinas de Matasiete
628,Chiang Khong,TH,75.2,few clouds,20.26,100.4,Chiangkhong Green Inn Resident
634,Manggar,ID,80.83,light rain,-2.88,108.27,Guest Hotel
636,Plainview,US,82.99,moderate rain,40.78,-73.47,Holiday Inn Plainview-Long Island
637,Balkanabat,TM,77.34,clear sky,39.51,54.37,Nebitchi Hotel
638,Touros,BR,75.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
639,Miri,MY,77.0,few clouds,4.41,114.01,"Mega Hotel, Miri"
645,Kifri,IQ,79.9,clear sky,34.7,44.97,میزان کفری
647,Faanui,PF,77.4,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
650,Tezu,IN,75.52,moderate rain,27.92,96.17,Circuit House
653,Bossier City,US,78.8,light rain,32.52,-93.73,Horseshoe Bossier City
654,Kamakhyanagar,IN,75.47,overcast clouds,20.93,85.55,రెంటచింతల సూర్య వెంకట పవన్ కుమార్
657,Cockburn Town,TC,84.2,scattered clouds,21.46,-71.14,Osprey Beach Hotel
660,Ladario,BR,85.95,clear sky,-19.0,-57.6,Hotel Fazenda 4 cantos
661,Mandera,KE,76.95,few clouds,3.94,41.87,Kornesh Hotel and Lodging
663,Saraland,US,84.0,overcast clouds,30.82,-88.07,Microtel Inn & Suites by Wyndham Saraland/North Mobile
665,Filadelfia,US,90.0,scattered clouds,39.95,-75.16,Loews Philadelphia Hotel
669,Sakakah,SA,84.2,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
673,Inirida,CO,75.27,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
676,Camapua,BR,83.95,clear sky,-19.53,-54.04,Comercial Estrela
680,Manoel Urbano,BR,81.18,few clouds,-8.84,-69.26,Baixada Beira Rio
683,Tautira,PF,84.2,scattered clouds,-17.73,-149.15,Pension Oaoa
686,Kilinochchi,LK,78.58,few clouds,9.4,80.4,Solaivanam Guest House
687,Lorengau,PG,84.69,light rain,-2.02,147.27,Lorengau Harbourside Hotel
688,Bubaque,GW,80.67,light rain,11.28,-15.83,Casa Dora
693,San Rafael Del Sur,NI,82.4,scattered clouds,11.85,-86.44,Hospedaje El Chino
694,Wagar,SD,85.87,broken clouds,16.15,36.2,
